champ,games,rank,group
Ambessa,10,1,1
Aurora,8,2,1
Ahri,7,3,1
Ashe,7,4,1
Neeko,7,5,1
Trundle,7,6,1
Corki,6,7,1
Gwen,6,8,1
Nautilus,6,9,1
Orianna,6,10,1
Rell,6,11,2
Alistar,5,12,2
Azir,5,13,2
Braum,5,14,2
Ryze,5,15,2
Sejuani,5,16,2
Vi,5,17,2
Viktor,5,18,2
Xin Zhao,5,19,2
Aatrox,4,20,2
Jax,4,21,3
Jayce,4,22,3
Kai'Sa,4,23,3
Lee Sin,4,24,3
Miss Fortune,4,25,3
Naafiri,4,26,3
Nocturne,4,27,3
Renata Glasc,4,28,3
Sion,4,29,3
Sivir,4,30,3
