pick1,games,wins,winrate
Azir,7,6,0.8571428571428571
Gwen,5,0,0
Rumble,5,3,0.6
Varus,5,4,0.8
Jayce,4,1,0.25
Naafiri,4,2,0.5
K'Sante,3,2,0.6666666666666666
Kalista,3,2,0.6666666666666666
Pantheon,3,2,0.6666666666666666
Taliyah,3,1,0.3333333333333333
Wukong,2,1,0.5
Corki,1,0,0
Ryze,1,1,1
Sion,1,1,1
Twisted Fate,1,1,1
Vi,1,0,0
