champ,games,rank,group
Xin Zhao,23,1,1
Ambessa,15,2,1
Rakan,15,3,1
Rumble,15,4,1
Taliyah,14,5,1
Alistar,13,6,1
Ezreal,13,7,1
Ahri,12,8,1
Azir,12,9,1
Kai'Sa,12,10,1
Wukong,12,11,2
Braum,11,12,2
Lucian,11,13,2
Gwen,10,14,2
Renekton,10,15,2
Sion,10,16,2
Jhin,9,17,2
Leona,9,18,2
Zeri,9,19,2
Galio,8,20,2
Jayce,8,21,3
Pantheon,8,22,3
Rell,8,23,3
Ryze,8,24,3
Varus,8,25,3
Vi,8,26,3
Corki,7,27,3
Jarvan IV,7,28,3
Poppy,7,29,3
Renata Glasc,7,30,3
Viktor,7,31,4
Xayah,7,32,4
