pick1,games,wins,winrate
Azir,6,3,0.5
Gwen,6,4,0.6666666666666666
Rumble,4,3,0.75
Nidalee,3,2,0.6666666666666666
Xin Zhao,3,2,0.6666666666666666
Ahri,2,1,0.5
Jayce,2,0,0
Lucian,2,0,0
Renata Glasc,2,1,0.5
Varus,2,0,0
Wukong,2,2,1
Ambessa,1,0,0
Ashe,1,1,1
Aurora,1,1,1
Ezreal,1,1,1
Galio,1,0,0
Jarvan IV,1,0,0
Jhin,1,0,0
Maokai,1,0,0
Neeko,1,0,0
Nocturne,1,0,0
Poppy,1,1,1
Sejuani,1,0,0
Skarner,1,0,0
Taliyah,1,0,0
Vi,1,0,0
