position,playername,champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists
top,Clear,K'Sante,9,4,0.4444444444444444,2.4444444444444446,2.7777777777777777,7.555555555555555
top,Clear,Renekton,9,6,0.6666666666666666,2.5555555555555554,2.888888888888889,7.111111111111111
top,Clear,Ambessa,8,2,0.25,1.75,3.375,3.375
top,Clear,Jax,8,4,0.5,2.125,2,3.875
top,Clear,Aatrox,3,2,0.6666666666666666,4.333333333333333,2.3333333333333335,5.333333333333333
top,Clear,Aurora,2,0,0,1.5,4.5,1
top,Clear,Fiora,1,1,1,2,3,5
top,Clear,Yorick,1,1,1,3,0,4
top,Soboro,Rumble,3,2,0.6666666666666666,2.3333333333333335,2.6666666666666665,6
top,Soboro,K'Sante,2,1,0.5,4,3.5,8
top,Soboro,Yorick,2,0,0,2,4.5,2.5
top,Soboro,Ambessa,1,0,0,5,2,3
top,Soboro,Jayce,1,0,0,1,5,2
top,Soboro,Olaf,1,0,0,5,5,3
