gameid,year,split,playoffs,date,game,patch,side,teamname,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT03_191028,2025,Cup,0,2025-01-24T08:59:16Z,2,15.01,Blue,BNK FEARX,Rumble,Zyra,Aurora,Ahri,Akali,Varus,Azir,Xin Zhao,Renekton,Elise,1654,1,19,15,35,19,15,3,1,0,0,1,0.6892,1.2334,1,3,1,3,1,1,0,1,1,0,0
LOLTMNT03_191028,2025,Cup,0,2025-01-24T08:59:16Z,2,15.01,Red,DRX,Kalista,Skarner,K'Sante,Poppy,Renata Glasc,Vi,Gnar,Rakan,Miss Fortune,Xerath,1654,0,15,19,30,15,19,2,0,0,0,0,0.5441,1.2334,0,1,3,1,3,0,0,0,1,0,0
LOLTMNT03_191030,2025,Cup,0,2025-01-24T09:49:42Z,3,15.01,Blue,DRX,Zyra,Galio,Kalista,Lulu,Bard,Rumble,Ashe,Braum,Lee Sin,Lillia,2044,1,18,7,38,18,7,5,1,0,0,1,0.5284,0.7339,0,3,2,3,2,3,0,0,0,0,0
LOLTMNT03_191030,2025,Cup,0,2025-01-24T09:49:42Z,3,15.01,Red,BNK FEARX,Skarner,K'Sante,Yone,Nocturne,Viego,Corki,Sejuani,Zeri,Yuumi,Aurora,2044,0,7,18,19,7,18,1,0,0,0,0,0.2055,0.7339,1,2,3,2,3,0,1,1,0,0,0
LOLTMNT01_198801,2025,Cup,0,2025-02-02T06:06:34Z,1,15.02,Blue,Nongshim RedForce,Zyra,Vi,K'Sante,Lillia,Azir,Ambessa,Elise,Sejuani,Xayah,Aurora,1655,1,23,11,48,23,11,2,0,0,0,1,0.8338,1.2326,1,1,1,1,1,0,0,1,0,0,0
LOLTMNT01_198801,2025,Cup,0,2025-02-02T06:06:34Z,1,15.02,Red,BNK FEARX,Skarner,Kalista,Rumble,Caitlyn,Ezreal,Jayce,Poppy,Kai'Sa,Wukong,Viktor,1655,0,11,23,19,11,23,1,0,0,0,0,0.3988,1.2326,0,1,1,1,1,0,0,0,1,0,0
LOLTMNT01_198810,2025,Cup,0,2025-02-02T06:55:43Z,2,15.02,Blue,BNK FEARX,Yone,Rumble,Gnar,Gangplank,Leona,Vi,Azir,Jax,Miss Fortune,Rell,1788,0,3,15,6,3,15,0,0,0,0,0,0.1007,0.604,0,2,2,2,2,0,0,1,0,1,0
LOLTMNT01_198810,2025,Cup,0,2025-02-02T06:55:43Z,2,15.02,Red,Nongshim RedForce,Skarner,Kalista,K'Sante,Renata Glasc,Zeri,Xin Zhao,Ezreal,Galio,Camille,Shen,1788,1,15,3,39,15,3,1,1,0,0,1,0.5034,0.604,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT02_241987,2025,Rounds 1-2,0,2025-04-03T10:26:24Z,1,15.06,Blue,BNK FEARX,Varus,Jayce,Skarner,Lillia,Nidalee,Gwen,Maokai,Yone,Miss Fortune,Rell,1720,0,3,20,10,3,20,1,0,0,0,1,0.1047,0.8023,1,1,2,1,2,0,0,0,1,0,0
LOLTMNT02_241987,2025,Rounds 1-2,0,2025-04-03T10:26:24Z,1,15.06,Red,Dplus KIA,Naafiri,Vi,Sejuani,Kalista,Rakan,Rumble,Ezreal,Corki,Ivern,Leona,1720,1,20,3,48,20,3,2,0,0,0,0,0.6977,0.8023,0,2,1,2,1,0,1,1,0,0,0
LOLTMNT02_243004,2025,Rounds 1-2,0,2025-04-03T11:16:53Z,2,15.06,Blue,BNK FEARX,Ambessa,Varus,Jayce,Ashe,Ziggs,Kalista,Xin Zhao,Renata Glasc,Jax,Ahri,1587,1,22,7,51,22,7,4,3,1,0,0,0.8318,1.0964,1,4,0,4,0,1,0,0,0,1,2
LOLTMNT02_243004,2025,Rounds 1-2,0,2025-04-03T11:16:53Z,2,15.06,Red,Dplus KIA,Naafiri,Vi,Sejuani,Azir,Aatrox,Skarner,Gnar,Cho'Gath,Senna,Taliyah,1587,0,7,22,16,7,22,1,0,0,0,1,0.2647,1.0964,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT02_242946,2025,Rounds 1-2,0,2025-04-03T12:04:23Z,3,15.06,Blue,Dplus KIA,Nocturne,Renekton,Poppy,Rakan,Zeri,Naafiri,Aatrox,Aurora,Kai'Sa,Gragas,2215,1,18,12,48,18,12,5,1,0,0,0,0.4876,0.8126,0,3,3,3,3,2,0,0,1,0,0
LOLTMNT02_242946,2025,Rounds 1-2,0,2025-04-03T12:04:23Z,3,15.06,Red,BNK FEARX,Jayce,Ambessa,Varus,Nautilus,Alistar,K'Sante,Vi,Azir,Ashe,Braum,2215,0,12,18,34,12,18,1,0,0,0,1,0.3251,0.8126,1,3,3,3,3,2,0,1,0,0,0
LOLTMNT02_244356,2025,Rounds 1-2,0,2025-04-05T06:08:15Z,1,15.06,Blue,OKSavingsBank BRION,Varus,Kalista,Rumble,Azir,Poppy,Vi,Renekton,Taliyah,Corki,Rell,1930,1,22,8,59,22,8,4,1,0,0,1,0.6839,0.9326,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT02_244356,2025,Rounds 1-2,0,2025-04-05T06:08:15Z,1,15.06,Red,BNK FEARX,Yone,Jayce,Gwen,Kai'Sa,Miss Fortune,Naafiri,Ambessa,Ezreal,Sylas,Elise,1930,0,8,22,18,8,22,1,0,0,0,0,0.2487,0.9326,1,3,1,3,1,1,1,1,0,0,0
LOLTMNT02_243459,2025,Rounds 1-2,0,2025-04-05T07:01:01Z,2,15.06,Blue,BNK FEARX,Yone,Aurora,Varus,Poppy,Kai'Sa,Rumble,Ryze,Wukong,Xayah,Alistar,2020,1,16,9,37,16,9,3,1,0,0,0,0.4752,0.7426,0,3,2,3,2,0,0,1,0,2,0
LOLTMNT02_243459,2025,Rounds 1-2,0,2025-04-05T07:01:01Z,2,15.06,Red,OKSavingsBank BRION,Kalista,Gwen,Azir,Ashe,Miss Fortune,Ahri,Xin Zhao,Jayce,Rakan,Zeri,2020,0,9,16,18,9,16,1,0,0,0,1,0.2673,0.7426,1,2,3,2,3,0,0,0,1,1,0
LOLTMNT02_244383,2025,Rounds 1-2,0,2025-04-05T07:55:21Z,3,15.06,Blue,OKSavingsBank BRION,Varus,Gnar,Kalista,Jax,Miss Fortune,Gwen,Ivern,Tristana,Ashe,Nautilus,1499,0,6,15,11,6,15,1,0,0,0,1,0.2402,0.8406,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT02_244383,2025,Rounds 1-2,0,2025-04-05T07:55:21Z,3,15.06,Red,BNK FEARX,Yone,Nocturne,Akali,Braum,Poppy,Azir,Skarner,Leona,Kai'Sa,Fiora,1499,1,15,6,34,15,6,2,1,0,0,0,0.6004,0.8406,1,3,0,3,0,1,1,1,0,0,0
LOLTMNT03_218624,2025,Rounds 1-2,0,2025-04-10T08:06:04Z,1,15.07,Blue,BNK FEARX,Aurora,Ambessa,Gwen,Varus,Ezreal,Naafiri,Taliyah,Jayce,Xayah,Rakan,1980,1,18,7,41,18,7,2,0,0,0,1,0.5455,0.7576,1,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_218624,2025,Rounds 1-2,0,2025-04-10T08:06:04Z,1,15.07,Red,DRX,Kalista,Vi,Rumble,Alistar,Miss Fortune,Azir,Xin Zhao,Sion,Kai'Sa,Pantheon,1980,0,7,18,14,7,18,0,0,0,0,0,0.2121,0.7576,0,3,1,3,1,1,0,0,2,0,0
LOLTMNT03_218633,2025,Rounds 1-2,0,2025-04-10T09:04:58Z,2,15.07,Blue,DRX,Varus,Kalista,Rumble,Alistar,Skarner,Corki,Miss Fortune,Ambessa,Rell,Zyra,2001,0,10,23,24,10,23,0,0,0,0,1,0.2999,0.9895,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_218633,2025,Rounds 1-2,0,2025-04-10T09:04:58Z,2,15.07,Red,BNK FEARX,Vi,Aurora,Gwen,Lillia,Ivern,Ezreal,Ahri,Renekton,Viego,Leona,2001,1,23,10,48,23,10,3,1,0,0,0,0.6897,0.9895,1,4,1,4,1,1,0,2,0,0,1
LOLTMNT03_222019,2025,Rounds 1-2,0,2025-04-12T08:29:02Z,1,15.07,Blue,KT Rolster,Varus,Vi,Gwen,Karma,Ashe,Kalista,Neeko,Jayce,Sylas,Nidalee,1799,1,17,9,35,17,9,2,0,0,0,0,0.567,0.8671,1,3,1,3,1,0,0,1,0,1,1
LOLTMNT03_222019,2025,Rounds 1-2,0,2025-04-12T08:29:02Z,1,15.07,Red,BNK FEARX,Azir,Yone,Rumble,Sejuani,Skarner,Taliyah,Xin Zhao,Sion,Rakan,Xayah,1799,0,9,17,18,9,17,0,0,0,0,1,0.3002,0.8671,0,1,3,1,3,0,0,0,0,1,0
LOLTMNT03_221610,2025,Rounds 1-2,0,2025-04-12T09:21:23Z,2,15.07,Blue,BNK FEARX,Yone,Corki,Rumble,Sejuani,Ambessa,Azir,Ezreal,Leona,Zyra,K'Sante,1744,1,14,6,31,14,6,2,1,0,0,1,0.4817,0.6881,0,2,2,2,2,2,0,0,0,0,0
LOLTMNT03_221610,2025,Rounds 1-2,0,2025-04-12T09:21:23Z,2,15.07,Red,KT Rolster,Vi,Gwen,Naafiri,Nocturne,Skarner,Varus,Viktor,Alistar,Viego,Gnar,1744,0,6,14,13,6,14,0,0,0,0,0,0.2064,0.6881,1,2,2,2,2,0,1,0,0,0,1
LOLTMNT03_221634,2025,Rounds 1-2,0,2025-04-12T10:12:46Z,3,15.07,Blue,KT Rolster,Naafiri,Rumble,Vi,Ryze,Renekton,Ahri,Ashe,Pantheon,Aatrox,Elise,1575,1,24,8,53,24,8,2,1,0,0,1,0.9143,1.219,0,3,1,3,1,0,0,0,2,0,1
LOLTMNT03_221634,2025,Rounds 1-2,0,2025-04-12T10:12:46Z,3,15.07,Red,BNK FEARX,Yone,Gwen,Corki,Braum,Nocturne,Miss Fortune,Lillia,Rell,Ambessa,Galio,1575,0,8,24,20,8,24,0,0,0,0,0,0.3048,1.219,1,1,3,1,3,0,0,1,0,0,0
LOLTMNT03_229121,2025,Rounds 1-2,0,2025-04-16T11:13:00Z,1,15.07,Blue,BNK FEARX,Gwen,Xin Zhao,Jayce,Rakan,Ambessa,Varus,Naafiri,Taliyah,Nautilus,Jax,2070,1,19,13,45,19,13,3,0,0,0,1,0.5507,0.9275,1,4,1,4,1,1,1,2,0,0,0
LOLTMNT03_229121,2025,Rounds 1-2,0,2025-04-16T11:13:00Z,1,15.07,Red,Gen.G,Vi,Kalista,Rumble,Alistar,Renekton,Azir,Miss Fortune,Sejuani,Gnar,Braum,2070,0,13,19,36,13,19,4,0,0,0,0,0.3768,0.9275,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_229164,2025,Rounds 1-2,0,2025-04-16T12:09:37Z,2,15.07,Blue,Gen.G,Ezreal,Rumble,Jayce,Corki,Skarner,Xin Zhao,Viktor,Ambessa,Ashe,Renata Glasc,1810,1,29,11,69,29,11,5,1,0,0,1,0.9613,1.326,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT03_229164,2025,Rounds 1-2,0,2025-04-16T12:09:37Z,2,15.07,Red,BNK FEARX,Gwen,Vi,Kalista,Lulu,Poppy,Xayah,Rakan,Renekton,Viego,Sylas,1810,0,11,29,15,11,29,1,1,0,0,0,0.3646,1.326,0,2,2,2,2,1,0,0,0,1,0
LOLTMNT03_229200,2025,Rounds 1-2,0,2025-04-16T13:02:35Z,3,15.07,Blue,BNK FEARX,Gwen,Jayce,Rumble,Yone,Ahri,Corki,Zyra,K'Sante,Zeri,Lulu,1474,0,0,20,0,0,20,0,0,0,0,0,0,0.8141,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_229200,2025,Rounds 1-2,0,2025-04-16T13:02:35Z,3,15.07,Red,Gen.G,Vi,Kalista,Ezreal,Leona,Pantheon,Nidalee,Jhin,Alistar,Poppy,Ryze,1474,1,20,0,40,20,0,3,1,0,0,1,0.8141,0.8141,1,3,0,3,0,1,1,0,0,0,1
LOLTMNT03_229809,2025,Rounds 1-2,0,2025-04-18T08:05:29Z,1,15.07,Blue,BNK FEARX,Rumble,Sion,Gwen,Alistar,Ambessa,Varus,Naafiri,Taliyah,Jax,Poppy,2254,0,12,22,27,12,22,2,0,0,0,0,0.3194,0.9051,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT03_229809,2025,Rounds 1-2,0,2025-04-18T08:05:29Z,1,15.07,Red,T1,Vi,Kalista,Jayce,Nautilus,Renata Glasc,Azir,Xin Zhao,Ezreal,Rakan,Gragas,2254,1,22,12,54,22,12,3,0,0,0,1,0.5856,0.9051,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT03_229822,2025,Rounds 1-2,0,2025-04-18T09:10:00Z,2,15.07,Blue,BNK FEARX,Viktor,Rumble,Sion,Alistar,Nautilus,Jayce,Skarner,Ryze,Miss Fortune,Rell,2019,1,16,10,36,16,10,0,0,0,0,0,0.4755,0.7727,0,3,2,3,2,0,0,0,3,0,0
LOLTMNT03_229822,2025,Rounds 1-2,0,2025-04-18T09:10:00Z,2,15.07,Red,T1,Vi,Kalista,Yone,Xayah,Zeri,Sejuani,Gwen,Corki,Ashe,Renata Glasc,2019,0,10,16,27,10,16,0,0,0,0,1,0.2972,0.7727,1,2,3,2,3,0,0,1,0,1,0
LOLTMNT03_230810,2025,Rounds 1-2,0,2025-04-18T10:05:30Z,3,15.07,Blue,T1,Yone,Zyra,Ambessa,Kai'Sa,Nautilus,Viktor,Yorick,Lee Sin,Jinx,Lulu,1712,0,3,14,9,3,14,0,0,0,0,0,0.1051,0.5958,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT03_230810,2025,Rounds 1-2,0,2025-04-18T10:05:30Z,3,15.07,Red,BNK FEARX,Vi,Rumble,Kalista,Caitlyn,Jhin,Sion,Viego,Ahri,Alistar,Zeri,1712,1,14,3,31,14,3,0,0,0,0,1,0.4907,0.5958,1,2,1,2,1,0,0,1,0,1,0
LOLTMNT01_228803,2025,Rounds 1-2,0,2025-04-23T10:22:22Z,1,15.08,Blue,Nongshim RedForce,Naafiri,Kalista,Taliyah,Ahri,Viktor,Xin Zhao,Gwen,Ryze,Zeri,Alistar,1832,1,30,15,75,30,15,6,3,1,0,1,0.9825,1.4738,0,3,2,3,2,0,0,3,0,0,0
LOLTMNT01_228803,2025,Rounds 1-2,0,2025-04-23T10:22:22Z,1,15.08,Red,BNK FEARX,Vi,Sejuani,Azir,Ezreal,Nautilus,Varus,Rumble,Skarner,Yone,Renata Glasc,1832,0,15,30,40,15,30,1,0,0,0,0,0.4913,1.4738,1,2,3,2,3,0,1,0,0,0,1
LOLTMNT01_228821,2025,Rounds 1-2,0,2025-04-23T11:15:41Z,2,15.08,Blue,BNK FEARX,Sejuani,Pantheon,Nocturne,Nautilus,Aatrox,Naafiri,Taliyah,Ezreal,Rell,Sion,1946,0,17,22,48,17,22,3,0,0,0,0,0.5242,1.2025,1,2,1,2,1,0,0,1,0,1,0
LOLTMNT01_228821,2025,Rounds 1-2,0,2025-04-23T11:15:41Z,2,15.08,Red,Nongshim RedForce,Vi,Kalista,Jayce,Rakan,Braum,Azir,Poppy,Kai'Sa,Leona,Nidalee,1946,1,22,17,51,22,17,4,0,0,0,1,0.6783,1.2025,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT01_232663,2025,Rounds 1-2,0,2025-04-26T06:07:29Z,1,15.08,Blue,DN Freecs,Varus,Naafiri,Kalista,Sejuani,Skarner,Xin Zhao,Taliyah,Ambessa,Kai'Sa,Neeko,2403,1,17,18,34,17,18,0,0,0,0,0,0.4245,0.8739,0,1,4,0,4,0,0,0,0,0,0
LOLTMNT01_232663,2025,Rounds 1-2,0,2025-04-26T06:07:29Z,1,15.08,Red,BNK FEARX,Vi,Gwen,Rumble,Miss Fortune,Nautilus,Jayce,Azir,Ezreal,Poppy,Karma,2403,0,18,17,32,18,17,2,0,0,0,1,0.4494,0.8739,1,4,1,4,0,0,1,1,0,2,0
LOLTMNT01_233515,2025,Rounds 1-2,0,2025-04-26T07:09:50Z,2,15.08,Blue,BNK FEARX,Varus,Sejuani,Rumble,Viktor,Jax,Kalista,Ashe,Ryze,Lillia,Renekton,1735,1,15,7,48,15,7,3,0,0,0,1,0.5187,0.7608,1,3,1,3,1,0,2,0,1,0,0
LOLTMNT01_233515,2025,Rounds 1-2,0,2025-04-26T07:09:50Z,2,15.08,Red,DN Freecs,Vi,Naafiri,Gwen,Pantheon,Gnar,Renata Glasc,Skarner,Draven,Ahri,K'Sante,1735,0,7,15,16,7,15,0,0,0,0,0,0.2421,0.7608,0,1,3,1,3,0,0,1,0,0,0
LOLTMNT01_233535,2025,Rounds 1-2,0,2025-04-26T07:59:46Z,3,15.08,Blue,DN Freecs,Sejuani,Varus,Viego,Xayah,Jhin,Naafiri,Miss Fortune,Orianna,Gragas,Rakan,1807,0,5,15,9,5,15,0,0,0,0,1,0.166,0.6641,0,0,4,0,4,0,0,0,0,0,0
LOLTMNT01_233535,2025,Rounds 1-2,0,2025-04-26T07:59:46Z,3,15.08,Red,BNK FEARX,Vi,Gwen,Rumble,Aatrox,Sion,Viktor,Pantheon,Jax,Alistar,Lucian,1807,1,15,5,37,15,5,2,1,0,0,0,0.4981,0.6641,1,4,0,4,0,0,1,0,0,2,1
LOLTMNT01_237541,2025,Rounds 1-2,0,2025-04-30T11:18:31Z,1,15.08,Blue,BNK FEARX,Yone,Rumble,Azir,Sylas,Ahri,Jayce,Taliyah,Sejuani,Kai'Sa,Alistar,2090,0,7,15,22,7,15,0,0,0,0,1,0.201,0.6316,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT01_237541,2025,Rounds 1-2,0,2025-04-30T11:18:31Z,1,15.08,Red,Hanwha Life Esports,Vi,Poppy,Naafiri,Kalista,Ezreal,Gwen,Xin Zhao,Varus,Ryze,Rakan,2090,1,15,7,45,15,7,0,0,0,0,0,0.4306,0.6316,0,2,3,2,3,0,0,0,2,0,0
LOLTMNT01_238088,2025,Rounds 1-2,0,2025-04-30T12:15:07Z,2,15.08,Blue,BNK FEARX,Yone,Rumble,Ambessa,Gnar,Nidalee,Kalista,Neeko,Jax,Viktor,Skarner,1860,0,11,18,23,11,18,2,0,0,0,0,0.3548,0.9355,0,1,3,1,3,0,0,0,0,0,1
LOLTMNT01_238088,2025,Rounds 1-2,0,2025-04-30T12:15:07Z,2,15.08,Red,Hanwha Life Esports,Vi,Naafiri,Azir,Nocturne,Lillia,Renata Glasc,Ashe,Poppy,Kennen,Sylas,1860,1,18,13,31,18,13,4,0,0,0,1,0.5806,0.9355,1,3,1,3,1,1,0,0,1,0,1
