position,champion,pick_count,win_count,win_rate,avg_kills,avg_deaths,avg_assists
bot,Kai'Sa,23,13,0.5652173913043478,5.782608695652174,2.9565217391304346,6.043478260869565
bot,Ezreal,19,10,0.5263157894736842,4.947368421052632,1.6842105263157894,6.157894736842105
bot,Lucian,19,5,0.2631578947368421,4.2105263157894735,3.4210526315789473,5.526315789473684
bot,Varus,17,7,0.4117647058823529,4.0588235294117645,3.588235294117647,6.705882352941177
bot,Zeri,16,10,0.625,5.5625,2.25,6.375
bot,Xayah,14,8,0.5714285714285714,4.428571428571429,2.4285714285714284,6.142857142857143
bot,Jhin,13,7,0.5384615384615384,5.769230769230769,2,7.538461538461538
bot,Miss Fortune,12,4,0.3333333333333333,2.5833333333333335,3,4.166666666666667
bot,Ashe,11,8,0.7272727272727273,4.545454545454546,2.5454545454545454,8.363636363636363
bot,Kalista,10,6,0.6,6,3.1,4.2
bot,Sivir,10,5,0.5,4.2,2.7,7.8
bot,Corki,9,5,0.5555555555555556,7.666666666666667,3.3333333333333335,5.888888888888889
bot,Jinx,6,2,0.3333333333333333,3.6666666666666665,3,4.5
bot,Senna,5,3,0.6,4.2,3,10.2
bot,Yunara,5,3,0.6,3.6,2.6,5.4
bot,Aphelios,1,0,0,2,4,1
bot,Caitlyn,1,0,0,3,5,1
bot,Draven,1,0,0,3,3,2
bot,Vayne,1,0,0,4,1,4
bot,Ziggs,1,1,1,4,0,14
jng,Xin Zhao,34,19,0.5588235294117647,3.264705882352941,3.4705882352941178,9.058823529411764
jng,Wukong,23,11,0.4782608695652174,3.6956521739130435,3.652173913043478,7.260869565217392
jng,Naafiri,16,9,0.5625,5.8125,2.8125,8.125
jng,Vi,14,5,0.35714285714285715,2.2142857142857144,3.7142857142857144,6.5
jng,Pantheon,13,8,0.6153846153846154,5.461538461538462,3.3846153846153846,7.384615384615385
jng,Skarner,12,6,0.5,2.0833333333333335,2.8333333333333335,8
jng,Sejuani,11,5,0.45454545454545453,2,2.4545454545454546,7.181818181818182
jng,Trundle,11,6,0.5454545454545454,3.090909090909091,3,10.090909090909092
jng,Jarvan IV,10,5,0.5,2.8,3.7,10
jng,Nocturne,10,3,0.3,3.6,3.6,6.5
jng,Viego,6,4,0.6666666666666666,6.333333333333333,3,5
jng,Lee Sin,5,2,0.4,4,2.6,6.2
jng,Maokai,5,0,0,1.8,4.6,4.6
jng,Nidalee,5,4,0.8,3,1,8.6
jng,Poppy,5,3,0.6,3.4,3,7.2
jng,Zyra,5,2,0.4,3.8,4.2,6.2
jng,Lillia,3,2,0.6666666666666666,5.333333333333333,1.6666666666666667,6.333333333333333
jng,Ivern,2,1,0.5,0.5,1.5,10.5
jng,Zed,2,1,0.5,4.5,3.5,6
jng,Kindred,1,0,0,5,6,6
jng,Sylas,1,1,1,2,3,20
mid,Azir,27,15,0.5555555555555556,4.074074074074074,2.5185185185185186,5.851851851851852
mid,Taliyah,25,11,0.44,2.8,2.72,7.32
mid,Ahri,24,12,0.5,3.9166666666666665,2.4166666666666665,7.041666666666667
mid,Ryze,19,12,0.631578947368421,3.210526315789474,2.3157894736842106,7.157894736842105
mid,Viktor,13,6,0.46153846153846156,3.230769230769231,2.3076923076923075,6.538461538461538
mid,Galio,12,2,0.16666666666666666,1.5,4.166666666666667,6.583333333333333
mid,Orianna,12,7,0.5833333333333334,2.8333333333333335,3,9
mid,Annie,11,8,0.7272727272727273,3.1818181818181817,3.909090909090909,9.909090909090908
mid,Yone,9,4,0.4444444444444444,3.111111111111111,3.3333333333333335,6.111111111111111
mid,Aurora,8,5,0.625,3,2.375,10
mid,Corki,7,1,0.14285714285714285,3.4285714285714284,3.5714285714285716,3.857142857142857
mid,Sylas,6,3,0.5,3.5,3.6666666666666665,5
mid,Akali,4,1,0.25,4.75,2.75,5
mid,Twisted Fate,3,3,1,3.3333333333333335,1.6666666666666667,11.333333333333334
mid,Smolder,2,1,0.5,3,2.5,2
mid,Tristana,2,0,0,4,3.5,1.5
mid,Cassiopeia,1,0,0,1,5,2
mid,Jayce,1,1,1,6,1,9
mid,LeBlanc,1,0,0,2,3,3
mid,Lee Sin,1,1,1,1,0,4
mid,Mel,1,0,0,5,3,4
mid,Morgana,1,1,1,1,1,19
mid,Syndra,1,1,1,7,2,10
mid,Viego,1,1,1,5,4,3
mid,Xerath,1,0,0,7,1,5
mid,Zoe,1,1,1,6,1,13
sup,Alistar,26,13,0.5,0.7692307692307693,3.4615384615384617,12.038461538461538
sup,Rell,22,14,0.6363636363636364,1.0454545454545454,4.045454545454546,11.909090909090908
sup,Rakan,21,11,0.5238095238095238,0.7619047619047619,3.0952380952380953,12
sup,Braum,20,8,0.4,0.4,3.65,12.45
sup,Neeko,18,6,0.3333333333333333,0.7777777777777778,4.111111111111111,9.333333333333334
sup,Leona,16,10,0.625,0.8125,4.3125,12.0625
sup,Renata Glasc,13,7,0.5384615384615384,0.6153846153846154,3.076923076923077,11.846153846153847
sup,Lulu,11,6,0.5454545454545454,0.45454545454545453,2.5454545454545454,10.090909090909092
sup,Nautilus,11,7,0.6363636363636364,0.5454545454545454,5.363636363636363,11.363636363636363
sup,Bard,5,3,0.6,1.4,2.8,10.8
sup,Elise,5,4,0.8,2.4,3.2,10.2
sup,Poppy,5,1,0.2,1.8,6.2,8
sup,Shen,3,2,0.6666666666666666,2,3.3333333333333335,11
sup,Tahm Kench,3,1,0.3333333333333333,0.3333333333333333,3.6666666666666665,8
sup,Gragas,2,1,0.5,1,5,6
sup,Karma,2,0,0,0,3,4
sup,Milio,2,0,0,0.5,2,11
sup,Nami,2,0,0,0.5,2.5,5.5
sup,Pantheon,2,0,0,1.5,4.5,3.5
sup,Ashe,1,1,1,1,3,12
sup,Blitzcrank,1,1,1,0,3,10
sup,Cho'Gath,1,0,0,2,6,0
sup,Maokai,1,1,1,1,1,13
sup,Yuumi,1,0,0,0,3,6
top,Rumble,28,17,0.6071428571428571,3.357142857142857,3.1785714285714284,7.571428571428571
top,Ambessa,25,12,0.48,2.64,2.36,4.84
top,Gwen,23,9,0.391304347826087,4,3.9565217391304346,4.565217391304348
top,Jayce,19,7,0.3684210526315789,2.4210526315789473,3.210526315789474,4.631578947368421
top,Sion,17,12,0.7058823529411765,2.5294117647058822,2.1176470588235294,8.176470588235293
top,K'Sante,16,5,0.3125,2.4375,3.5625,6.4375
top,Renekton,14,10,0.7142857142857143,3,2.9285714285714284,7.142857142857143
top,Jax,13,8,0.6153846153846154,2.5384615384615383,2,4.461538461538462
top,Aatrox,9,5,0.5555555555555556,3.2222222222222223,2.4444444444444446,4.777777777777778
top,Yorick,8,2,0.25,2.125,3,2.625
top,Aurora,5,3,0.6,3.8,3.4,4.4
top,Gnar,5,1,0.2,2.6,3,2.8
top,Camille,2,1,0.5,2.5,2,3.5
top,Gragas,2,1,0.5,0.5,1.5,7
top,Ornn,2,0,0,1,3,7
top,Fiora,1,1,1,2,3,5
top,Galio,1,0,0,4,3,3
top,Kennen,1,1,1,4,3,4
top,Nidalee,1,1,1,8,2,4
top,Olaf,1,0,0,5,5,3
top,Poppy,1,1,1,1,0,8
