gameid,year,split,playoffs,date,game,patch,side,teamname,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs
LOLTMNT02_244383,2025,Rounds 1-2,0,2025-04-05T07:55:21Z,3,15.06,Blue,OKSavingsBank BRION,Varus,Gnar,Kalista,Jax,Miss Fortune,Gwen,Ivern,Tristana,Ashe,Nautilus,1499,0,6,15,11,6,15,1,0,0,0,1,0.2402,0.8406,0,0,3,0,3,0,0,0,0,0,0
LOLTMNT03_218624,2025,Rounds 1-2,0,2025-04-10T08:06:04Z,1,15.07,Red,DRX,Kalista,Vi,Rumble,Alistar,Miss Fortune,Azir,Xin Zhao,Sion,Kai'Sa,Pantheon,1980,0,7,18,14,7,18,0,0,0,0,0,0.2121,0.7576,0,3,1,3,1,1,0,0,2,0,0
LOLTMNT03_218633,2025,Rounds 1-2,0,2025-04-10T09:04:58Z,2,15.07,Blue,DRX,Varus,Kalista,Rumble,Alistar,Skarner,Corki,Miss Fortune,Ambessa,Rell,Zyra,2001,0,10,23,24,10,23,0,0,0,0,1,0.2999,0.9895,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_222019,2025,Rounds 1-2,0,2025-04-12T08:29:02Z,1,15.07,Blue,KT Rolster,Varus,Vi,Gwen,Karma,Ashe,Kalista,Neeko,Jayce,Sylas,Nidalee,1799,1,17,9,35,17,9,2,0,0,0,0,0.567,0.8671,1,3,1,3,1,0,0,1,0,1,1
LOLTMNT03_221610,2025,Rounds 1-2,0,2025-04-12T09:21:23Z,2,15.07,Red,KT Rolster,Vi,Gwen,Naafiri,Nocturne,Skarner,Varus,Viktor,Alistar,Viego,Gnar,1744,0,6,14,13,6,14,0,0,0,0,0,0.2064,0.6881,1,2,2,2,2,0,1,0,0,0,1
LOLTMNT03_221634,2025,Rounds 1-2,0,2025-04-12T10:12:46Z,3,15.07,Blue,KT Rolster,Naafiri,Rumble,Vi,Ryze,Renekton,Ahri,Ashe,Pantheon,Aatrox,Elise,1575,1,24,8,53,24,8,2,1,0,0,1,0.9143,1.219,0,3,1,3,1,0,0,0,2,0,1
LOLTMNT03_229121,2025,Rounds 1-2,0,2025-04-16T11:13:00Z,1,15.07,Red,Gen.G,Vi,Kalista,Rumble,Alistar,Renekton,Azir,Miss Fortune,Sejuani,Gnar,Braum,2070,0,13,19,36,13,19,4,0,0,0,0,0.3768,0.9275,0,1,4,1,4,0,0,1,0,0,0
LOLTMNT03_229164,2025,Rounds 1-2,0,2025-04-16T12:09:37Z,2,15.07,Blue,Gen.G,Ezreal,Rumble,Jayce,Corki,Skarner,Xin Zhao,Viktor,Ambessa,Ashe,Renata Glasc,1810,1,29,11,69,29,11,5,1,0,0,1,0.9613,1.326,1,2,2,2,2,0,1,0,0,1,0
LOLTMNT03_229200,2025,Rounds 1-2,0,2025-04-16T13:02:35Z,3,15.07,Red,Gen.G,Vi,Kalista,Ezreal,Leona,Pantheon,Nidalee,Jhin,Alistar,Poppy,Ryze,1474,1,20,0,40,20,0,3,1,0,0,1,0.8141,0.8141,1,3,0,3,0,1,1,0,0,0,1
LOLTMNT03_229809,2025,Rounds 1-2,0,2025-04-18T08:05:29Z,1,15.07,Red,T1,Vi,Kalista,Jayce,Nautilus,Renata Glasc,Azir,Xin Zhao,Ezreal,Rakan,Gragas,2254,1,22,12,54,22,12,3,0,0,0,1,0.5856,0.9051,1,3,2,3,2,0,0,1,1,1,0
LOLTMNT03_229822,2025,Rounds 1-2,0,2025-04-18T09:10:00Z,2,15.07,Red,T1,Vi,Kalista,Yone,Xayah,Zeri,Sejuani,Gwen,Corki,Ashe,Renata Glasc,2019,0,10,16,27,10,16,0,0,0,0,1,0.2972,0.7727,1,2,3,2,3,0,0,1,0,1,0
LOLTMNT03_230810,2025,Rounds 1-2,0,2025-04-18T10:05:30Z,3,15.07,Blue,T1,Yone,Zyra,Ambessa,Kai'Sa,Nautilus,Viktor,Yorick,Lee Sin,Jinx,Lulu,1712,0,3,14,9,3,14,0,0,0,0,0,0.1051,0.5958,0,1,2,1,2,0,0,0,0,0,1
LOLTMNT01_228803,2025,Rounds 1-2,0,2025-04-23T10:22:22Z,1,15.08,Blue,Nongshim RedForce,Naafiri,Kalista,Taliyah,Ahri,Viktor,Xin Zhao,Gwen,Ryze,Zeri,Alistar,1832,1,30,15,75,30,15,6,3,1,0,1,0.9825,1.4738,0,3,2,3,2,0,0,3,0,0,0
LOLTMNT01_228821,2025,Rounds 1-2,0,2025-04-23T11:15:41Z,2,15.08,Red,Nongshim RedForce,Vi,Kalista,Jayce,Rakan,Braum,Azir,Poppy,Kai'Sa,Leona,Nidalee,1946,1,22,17,51,22,17,4,0,0,0,1,0.6783,1.2025,0,1,2,1,2,0,0,0,0,0,1
